Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,4603,4461,4763
1950,   2,4093,4005,4217
1950,   3,4208,4116,4319
1950,   4,5082,4787,5202
1950,   5,4990,4922,5107
1950,   6,5069,4852,5239
1950,   7,5230,5062,5448
1950,   8,5308,5192,5373
1950,   9,5401,5328,5443
1950,  10,5293,5241,5358
1950,  11,5267,5191,5347
1950,  12,5161,5019,5294
1951,   1,4508,4404,4575
1951,   2,4390,4288,4615
1951,   3,4898,4844,4973
1951,   4,5224,5130,5302
1951,   5,5488,5419,5614
1951,   6,5554,5477,5602
1951,   7,5724,5590,5886
1951,   8,5656,5539,5757
1951,   9,5567,5522,5676
1951,  10,5579,5485,5738
1951,  11,5529,5476,5600
1951,  12,5446,5367,5686
1952,   1,5216,5028,5444
1952,   2,4882,4666,5063
1952,   3,5109,5001,5205
1952,   4,5457,5322,5516
1952,   5,5585,5504,5636
1952,   6,5695,5585,5930
1952,   7,5824,5602,5925
1952,   8,5744,5614,5847
1952,   9,5748,5648,5881
1952,  10,5687,5556,5851
1952,  11,5585,5450,5704
1952,  12,5294,5181,5412
1953,   1,4920,4813,5043
1953,   2,4779,4614,5037
1953,   3,5107,4973,5217
1953,   4,5426,5146,5580
1953,   5,5534,5376,5746
1953,   6,5654,5559,5773
1953,   7,5677,5603,5910
1953,   8,5677,5576,5928
1953,   9,5696,5570,5797
1953,  10,5661,5578,5774
1953,  11,5635,5486,5764
1953,  12,5230,5136,5435
1954,   1,4637,4576,4712
1954,   2,4474,4372,4518
1954,   3,4952,4836,5017
1954,   4,5377,5314,5454
1954,   5,5481,5360,5585
1954,   6,5565,5517,5618
1954,   7,5832,5639,5884
1954,   8,5646,5558,5722
1954,   9,5690,5614,5742
1954,  10,5608,5519,5868
1954,  11,5560,5354,5653
1954,  12,5318,5172,5365
1955,   1,5026,4830,5247
1955,   2,4672,4524,4893
1955,   3,4966,4890,5093
1955,   4,5368,5293,5412
1955,   5,5430,5352,5545
1955,   6,5492,5390,5592
1955,   7,5638,5600,5715
1955,   8,5584,5521,5698
1955,   9,5542,5450,5682
1955,  10,5442,5357,5474
1955,  11,5290,5207,5377
1955,  12,5122,4992,5252
1956,   1,4282,4201,4372
1956,   2,4056,3912,4146
1956,   3,4751,4695,4865
1956,   4,5130,5051,5216
1956,   5,5463,5397,5578
1956,   6,5418,5375,5462
1956,   7,5520,5472,5575
1956,   8,5496,5361,5588
1956,   9,5363,5314,5480
1956,  10,5435,5326,5528
1956,  11,5318,5189,5412
1956,  12,5211,5118,5270
1957,   1,4416,4318,4515
1957,   2,4375,4237,4430
1957,   3,4739,4589,4872
1957,   4,5196,5125,5258
1957,   5,5284,5221,5367
1957,   6,5357,5213,5471
1957,   7,5377,5279,5448
1957,   8,5242,5156,5320
1957,   9,5325,5277,5369
1957,  10,5205,5119,5280
1957,  11,5202,5137,5299
1957,  12,5077,4975,5205
1958,   1,4311,4191,4396
1958,   2,3992,3867,4071
1958,   3,4632,4539,4759
1958,   4,4825,4764,4907
1958,   5,5156,5052,5265
1958,   6,5172,5121,5263
1958,   7,5218,5118,5308
1958,   8,5303,5252,5373
1958,   9,5234,5149,5293
1958,  10,5165,5121,5283
1958,  11,5036,4939,5124
1958,  12,4971,4914,5165
1959,   1,4131,4007,4266
1959,   2,4096,3987,4154
1959,   3,4707,4551,4818
1959,   4,4957,4886,5055
1959,   5,5247,5125,5320
1959,   6,5218,5161,5270
1959,   7,5170,5107,5304
1959,   8,5205,4969,5247
1959,   9,5106,4999,5199
1959,  10,5242,5162,5281
1959,  11,5140,5085,5189
1959,  12,5192,5086,5473
1960,   1,4777,4666,4953
1960,   2,4314,4201,4449
1960,   3,4645,4593,4723
1960,   4,5292,5193,5352
1960,   5,5396,5281,5467
1960,   6,5559,5506,5637
1960,   7,5613,5517,5747
1960,   8,5589,5466,5684
1960,   9,5575,5487,5669
1960,  10,5471,5385,5574
1960,  11,5405,5338,5565
1960,  12,5145,5042,5198
1961,   1,4719,4641,4759
1961,   2,4621,4488,4740
1961,   3,4887,4825,4975
1961,   4,5257,5185,5377
1961,   5,5394,5270,5504
1961,   6,5462,5397,5535
1961,   7,5425,5382,5488
1961,   8,5383,5340,5408
1961,   9,5355,5290,5422
1961,  10,5272,5219,5355
1961,  11,5249,5145,5356
1961,  12,5068,4959,5176
1962,   1,4498,4371,4577
1962,   2,4147,4049,4201
1962,   3,4902,4808,5057
1962,   4,5200,5098,5244
1962,   5,5255,5212,5366
1962,   6,5462,5423,5518
1962,   7,5406,5252,5516
1962,   8,5353,5282,5484
1962,   9,5368,5225,5457
1962,  10,5259,5152,5340
1962,  11,5240,5176,5287
1962,  12,5034,4861,5149
1963,   1,4363,4295,4423
1963,   2,3974,3798,4109
1963,   3,4657,4551,4736
1963,   4,5012,4927,5064
1963,   5,5127,4976,5254
1963,   6,5167,5080,5306
1963,   7,5222,5075,5336
1963,   8,5224,5058,5339
1963,   9,5157,5056,5249
1963,  10,5172,5064,5253
1963,  11,5058,4930,5135
1963,  12,4817,4737,4950
1964,   1,4268,4224,4338
1964,   2,4078,3992,4205
1964,   3,4524,4459,4582
1964,   4,4818,4704,4916
1964,   5,5097,4940,5246
1964,   6,5033,4884,5138
1964,   7,5090,4755,5288
1964,   8,5061,4868,5183
1964,   9,5099,5000,5208
1964,  10,4979,4844,5093
1964,  11,5004,4915,5100
1964,  12,4943,4823,5105
1965,   1,4219,4165,4373
1965,   2,4243,4092,4298
1965,   3,4599,4495,4659
1965,   4,4983,4800,5076
1965,   5,5140,5034,5219
1965,   6,5124,5045,5210
1965,   7,5236,5168,5346
1965,   8,5273,5196,5338
1965,   9,5232,5083,5393
1965,  10,5252,5138,5337
1965,  11,5226,5189,5360
1965,  12,5144,4996,5262
1966,   1,4716,4667,4846
1966,   2,4424,4358,4514
1966,   3,4738,4679,4821
1966,   4,5201,5075,5384
1966,   5,5353,5303,5415
1966,   6,5396,5243,5533
1966,   7,5526,5399,5671
1966,   8,5367,5300,5465
1966,   9,5234,5159,5350
1966,  10,5171,5125,5229
1966,  11,5174,5118,5245
1966,  12,5121,5027,5220
1967,   1,4714,4612,4771
1967,   2,4216,4166,4317
1967,   3,4796,4734,4859
1967,   4,5234,5165,5316
1967,   5,5267,5178,5325
1967,   6,5406,5257,5476
1967,   7,5501,5447,5601
1967,   8,5481,5398,5531
1967,   9,5438,5371,5517
1967,  10,5414,5302,5489
1967,  11,5405,5330,5477
1967,  12,5102,5049,5168
1968,   1,4601,4503,4703
1968,   2,4582,4503,4693
1968,   3,4849,4763,5094
1968,   4,5158,5096,5244
1968,   5,5407,5308,5458
1968,   6,5533,5341,5629
1968,   7,5497,5413,5581
1968,   8,5532,5463,5614
1968,   9,5410,5356,5451
1968,  10,5462,5387,5591
1968,  11,5401,5327,5490
1968,  12,5153,5051,5249
1969,   1,4619,4481,4728
1969,   2,4686,4477,4812
1969,   3,4894,4771,4975
1969,   4,5388,5244,5488
1969,   5,5446,5391,5579
1969,   6,5590,5521,5631
1969,   7,5608,5512,5724
1969,   8,5635,5526,5791
1969,   9,5591,5401,5692
1969,  10,5524,5378,5621
1969,  11,5563,5467,5666
1969,  12,5285,5174,5430
1970,   1,4330,4224,4384
1970,   2,4443,4343,4489
1970,   3,4936,4796,5025
1970,   4,5342,5201,5428
1970,   5,5436,5359,5486
1970,   6,5559,5504,5660
1970,   7,5638,5556,5779
1970,   8,5522,5437,5634
1970,   9,5585,5494,5770
1970,  10,5485,5359,5639
1970,  11,5487,5435,5581
1970,  12,5353,5272,5435
1971,   1,4851,4720,4899
1971,   2,4656,4570,4891
1971,   3,5094,5023,5192
1971,   4,5401,5316,5485
1971,   5,5451,5369,5564
1971,   6,5615,5560,5682
1971,   7,5728,5626,5862
1971,   8,5788,5690,5950
1971,   9,5631,5576,5728
1971,  10,5591,5545,5675
1971,  11,5451,5286,5572
1971,  12,5282,5230,5340
1972,   1,4781,4670,4937
1972,   2,4698,4570,4892
1972,   3,5065,4985,5248
1972,   4,5305,5232,5417
1972,   5,5451,5371,5613
1972,   6,5527,5445,5566
1972,   7,5753,5611,5817
1972,   8,5769,5641,5852
1972,   9,5626,5510,5881
1972,  10,5777,5585,5866
1972,  11,5664,5478,5771
1972,  12,5339,5249,5434
1973,   1,5101,4948,5419
1973,   2,4730,4578,4928
1973,   3,5317,5078,5504
1973,   4,5458,5323,5650
1973,   5,5530,5455,5646
1973,   6,5802,5706,5903
1973,   7,5828,5732,5943
1973,   8,5830,5705,5940
1973,   9,5797,5674,5926
1973,  10,5730,5664,5880
1973,  11,5607,5470,5773
1973,  12,5500,5335,5641
1974,   1,5004,4853,5241
1974,   2,4970,4685,5199
1974,   3,5218,5063,5417
1974,   4,5508,5399,5673
1974,   5,5567,5477,5731
1974,   6,5744,5643,5896
1974,   7,5897,5765,6038
1974,   8,5779,5668,5896
1974,   9,5807,5700,5984
1974,  10,5592,5491,5821
1974,  11,5708,5427,5856
1974,  12,5414,5284,5489
1975,   1,5002,4808,5202
1975,   2,4760,4630,4939
1975,   3,4943,4875,5061
1975,   4,5420,5294,5546
1975,   5,5624,5478,5673
1975,   6,5715,5572,5870
1975,   7,5829,5681,5932
1975,   8,5858,5706,5983
1975,   9,5762,5670,5862
1975,  10,5630,5536,5698
1975,  11,5532,5386,5683
1975,  12,5352,5281,5559
