Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 297.6202, 265.5910, 328.7504
1950.0000,   2.0000,  41.9481,   8.6369,  73.7737
1950.0000,   3.0000,  98.9643,  66.6939, 134.1872
1950.0000,   4.0000, 143.7467, 110.2024, 175.2527
1950.0000,   5.0000, -92.6506,-138.2477, -55.9060
1950.0000,   6.0000, -50.3911, -91.3089,  -8.6274
1950.0000,   7.0000, -25.3580, -68.1243,  12.8095
1950.0000,   8.0000, -65.2189,-100.4904, -33.7809
1950.0000,   9.0000, -30.8388, -62.6125,  -1.7764
1950.0000,  10.0000, -24.0297, -60.2704,   6.3041
1950.0000,  11.0000,   4.7896, -36.8561,  58.3895
1950.0000,  12.0000,  36.3567,  -5.0306,  89.2758
1951.0000,   1.0000,  37.2480,   8.8113,  66.0158
1951.0000,   2.0000, 115.6101,  86.2309, 144.9324
1951.0000,   3.0000, 152.7133, 124.7862, 184.2194
1951.0000,   4.0000,  79.7215,  51.0789, 110.0854
1951.0000,   5.0000,  -0.9041, -43.5944,  34.7179
1951.0000,   6.0000, -12.4665, -50.3990,  27.4220
1951.0000,   7.0000, -41.3025, -80.5517,  -5.1525
1951.0000,   8.0000, -87.6458,-124.3674, -59.5394
1951.0000,   9.0000, -85.0666,-113.8226, -56.3293
1951.0000,  10.0000, -38.0042, -73.1308, -10.1248
1951.0000,  11.0000,  13.1599, -24.7725,  62.4130
1951.0000,  12.0000,  59.9353,  20.6339, 114.0427
1952.0000,   1.0000, 255.0886, 226.8209, 284.2556
1952.0000,   2.0000,  33.1451,   3.9049,  60.3796
1952.0000,   3.0000,  83.1092,  56.0104, 112.5910
1952.0000,   4.0000,  68.2770,  40.2749,  96.6598
1952.0000,   5.0000, -18.2692, -57.3317,  15.2374
1952.0000,   6.0000, -65.8125,-100.2225, -28.8543
1952.0000,   7.0000, -66.6596,-105.5036, -35.1966
1952.0000,   8.0000, -41.9165, -77.8377, -14.7385
1952.0000,   9.0000, -76.8066,-105.1062, -49.2958
1952.0000,  10.0000,-191.3395,-224.1468,-164.5225
1952.0000,  11.0000, -38.1228, -75.9843,   7.9314
1952.0000,  12.0000,  27.9785, -10.5266,  82.6377
1953.0000,   1.0000,  59.9538,  31.4451,  87.1870
1953.0000,   2.0000, -28.4214, -55.5068,  -0.0151
1953.0000,   3.0000,  70.7667,  43.3781, 102.6960
1953.0000,   4.0000,   8.4250, -18.7386,  36.2834
1953.0000,   5.0000, 100.1500,  62.5311, 131.7419
1953.0000,   6.0000,  13.8578, -19.8583,  50.9381
1953.0000,   7.0000, -28.6287, -68.5691,   0.9193
1953.0000,   8.0000, -50.0140, -84.2578, -21.9131
1953.0000,   9.0000,-114.5882,-140.3410, -88.4834
1953.0000,  10.0000, -83.6040,-113.7056, -56.6756
1953.0000,  11.0000, -37.9560, -75.3907,   6.6052
1953.0000,  12.0000, -94.8054,-135.3086, -37.4310
1954.0000,   1.0000, -30.6438, -57.3726,  -3.9435
1954.0000,   2.0000,  59.6756,  32.0069,  88.1946
1954.0000,   3.0000, 151.2747, 125.1641, 183.7625
1954.0000,   4.0000, 196.0514, 169.0220, 223.0242
1954.0000,   5.0000, -74.4889,-111.2640, -40.6164
1954.0000,   6.0000, -14.3361, -46.1345,  24.2321
1954.0000,   7.0000, -31.1773, -69.0114,  -2.5007
1954.0000,   8.0000, -45.5834, -78.5047, -19.0506
1954.0000,   9.0000, -58.3625, -84.6296, -31.2570
1954.0000,  10.0000, 183.4443, 154.2040, 211.7182
1954.0000,  11.0000, -49.3972, -88.0068,  -6.7596
1954.0000,  12.0000, -13.5385, -52.5148,  45.3822
1955.0000,   1.0000,  27.6660,   1.9642,  53.0021
1955.0000,   2.0000,  21.0142,  -6.0407,  49.3287
1955.0000,   3.0000, 126.0481, 100.7247, 158.1354
