Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 426.8555, 397.5536, 455.8351
1950.0000,   2.0000, 215.5435, 187.7977, 242.7383
1950.0000,   3.0000, 271.4151, 244.4259, 296.9280
1950.0000,   4.0000, 258.8056, 228.2951, 285.3137
1950.0000,   5.0000,  49.3419,  25.6531,  76.2617
1950.0000,   6.0000,  64.9338,  43.1970,  88.4133
1950.0000,   7.0000,  29.3135,   4.6684,  56.2940
1950.0000,   8.0000, -47.4977, -68.4033, -25.2567
1950.0000,   9.0000, -50.3613, -73.1873, -24.9014
1950.0000,  10.0000, -36.5914, -62.3272,  -5.0493
1950.0000,  11.0000,  13.5713, -13.5757,  42.7813
1950.0000,  12.0000, 103.4417,  70.8863, 135.2063
1951.0000,   1.0000, 188.6150, 158.7899, 217.0367
1951.0000,   2.0000, 247.9980, 217.2454, 277.7109
1951.0000,   3.0000, 266.0594, 243.7899, 292.3957
1951.0000,   4.0000, 226.8015, 200.1360, 254.5354
1951.0000,   5.0000, 130.1162, 106.6912, 157.7809
1951.0000,   6.0000,  95.1362,  67.2619, 125.1459
1951.0000,   7.0000,   9.5199, -13.1022,  36.7778
1951.0000,   8.0000, -67.3973, -91.9794, -43.1537
1951.0000,   9.0000, -77.8168,-101.5662, -55.9926
1951.0000,  10.0000, -45.6430, -71.6392, -14.3786
1951.0000,  11.0000,  34.4450,  10.3576,  65.2055
1951.0000,  12.0000, 117.7193,  89.9373, 146.5010
1952.0000,   1.0000, 389.7692, 355.1625, 425.0891
1952.0000,   2.0000, 203.2938, 171.5832, 231.4063
1952.0000,   3.0000, 263.0177, 236.5468, 291.2026
1952.0000,   4.0000, 239.1344, 214.7065, 262.4187
1952.0000,   5.0000, 155.2366, 129.6969, 182.2033
1952.0000,   6.0000,  47.2755,  18.8767,  80.2037
1952.0000,   7.0000,  -5.3267, -27.2910,  24.2805
1952.0000,   8.0000,  -4.8726, -27.4168,  21.7687
1952.0000,   9.0000, -45.7316, -72.6633, -21.3400
1952.0000,  10.0000,-177.7400,-202.2927,-154.6103
1952.0000,  11.0000, -29.1734, -52.7808,  -3.1245
1952.0000,  12.0000,  78.9580,  53.8005, 107.2307
1953.0000,   1.0000, 178.4295, 151.3722, 208.4868
1953.0000,   2.0000, 113.3711,  84.2006, 142.0477
1953.0000,   3.0000, 193.0242, 165.5587, 228.4545
1953.0000,   4.0000, 114.4703,  85.6395, 147.2139
1953.0000,   5.0000, 199.9384, 164.9246, 230.9190
1953.0000,   6.0000,  81.8130,  51.0697, 107.9453
1953.0000,   7.0000,  15.3211, -10.5911,  41.9093
1953.0000,   8.0000, -29.7582, -55.2034,  -4.1720
1953.0000,   9.0000,-109.3809,-131.2486, -87.5194
1953.0000,  10.0000,-111.9315,-134.4977, -88.9590
1953.0000,  11.0000, -65.2275, -88.7611, -30.6623
1953.0000,  12.0000, -26.0554, -50.3121,   4.1454
1954.0000,   1.0000,  88.2842,  62.1642, 114.0836
1954.0000,   2.0000, 175.0884, 149.9123, 201.9933
1954.0000,   3.0000, 263.2190, 237.2100, 292.2568
1954.0000,   4.0000, 288.6067, 265.8624, 311.4972
1954.0000,   5.0000,  40.9018,  19.5318,  63.0853
1954.0000,   6.0000,  63.1864,  41.4050,  87.7209
1954.0000,   7.0000, -22.3968, -43.9404,   4.5763
1954.0000,   8.0000, -25.7601, -49.2796,  -3.2871
1954.0000,   9.0000, -69.5546, -91.8862, -47.9923
1954.0000,  10.0000, 211.9874, 177.9680, 245.4192
1954.0000,  11.0000,  -5.2930, -30.0710,  21.0839
1954.0000,  12.0000,  66.7506,  37.2750,  93.2927
1955.0000,   1.0000, 181.0012, 153.8317, 220.6601
1955.0000,   2.0000, 164.3888, 133.6549, 195.9219
1955.0000,   3.0000, 296.7175, 275.1596, 324.0089
1955.0000,   4.0000, 184.6553, 158.4510, 208.1117
1955.0000,   5.0000,  55.2844,  34.5940,  81.2307
1955.0000,   6.0000,  29.0346,   7.4161,  50.9478
1955.0000,   7.0000,   1.1850, -17.8173,  25.2803
1955.0000,   8.0000, -25.1272, -45.8684,  -4.0655
1955.0000,   9.0000,-108.1496,-127.1408, -82.9835
1955.0000,  10.0000, -30.7688, -54.4874,  -5.0849
1955.0000,  11.0000, -42.8491, -65.7050, -19.6110
1955.0000,  12.0000, -26.3164, -53.3192,   2.3303
1956.0000,   1.0000,  -9.9866, -25.5399,   7.4167
1956.0000,   2.0000, 103.3566,  78.5261, 129.0018
1956.0000,   3.0000, 252.7989, 227.5505, 279.5504
1956.0000,   4.0000, 206.8165, 183.6641, 235.3966
1956.0000,   5.0000, 302.1499, 276.4530, 325.9690
1956.0000,   6.0000,  75.1876,  50.9857,  99.0512
1956.0000,   7.0000,  28.9680,   6.5987,  53.1591
1956.0000,   8.0000,  60.5523,  35.7153,  91.2076
1956.0000,   9.0000,-115.0836,-137.5237, -93.4877
1956.0000,  10.0000, -99.3293,-122.1724, -76.9757
1956.0000,  11.0000,-138.4243,-160.8783,-115.2506
1956.0000,  12.0000,  24.9227,   0.1043,  50.3562
1957.0000,   1.0000,  82.7624,  55.5772, 108.6878
1957.0000,   2.0000, 122.0465,  98.7667, 147.3076
1957.0000,   3.0000,  74.8149,  54.4131,  98.8582
1957.0000,   4.0000, 299.4541, 275.0477, 324.1529
1957.0000,   5.0000,  87.1344,  64.2505, 111.1320
1957.0000,   6.0000, 123.2411,  99.2842, 148.2892
1957.0000,   7.0000,  50.7914,  26.1663,  77.9684
1957.0000,   8.0000, -87.3363,-106.6421, -68.1674
1957.0000,   9.0000, -51.0927, -72.5514, -28.9123
1957.0000,  10.0000,-121.0510,-142.7086, -98.5188
1957.0000,  11.0000, -58.3585, -80.8937, -32.0516
1957.0000,  12.0000, 104.7722,  72.2246, 133.1105
1958.0000,   1.0000,  22.9512,   4.0297,  44.5577
1958.0000,   2.0000,   0.4876, -16.4613,  19.8788
1958.0000,   3.0000,  50.1809,  30.3172,  69.9893
1958.0000,   4.0000,  82.5448,  64.0794, 103.1928
1958.0000,   5.0000,  29.1605,   6.5805,  53.6586
1958.0000,   6.0000,  87.1334,  68.9725, 109.2073
1958.0000,   7.0000,  54.2910,  33.3147,  77.7468
1958.0000,   8.0000, -33.2589, -53.6326, -13.0754
