Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 163.14, 155.34, 171.16
1950.00,   2.00, 107.67,  99.96, 115.49
1950.00,   3.00,  82.60,  75.23,  89.98
1950.00,   4.00, 102.05,  93.63, 110.53
1950.00,   5.00,  34.96,  27.93,  42.57
1950.00,   6.00,  83.69,  75.95,  90.77
1950.00,   7.00,  90.75,  82.91,  98.16
1950.00,   8.00,  63.77,  55.78,  73.12
1950.00,   9.00,  95.65,  88.07, 104.05
1950.00,  10.00,  72.26,  64.21,  80.46
1950.00,  11.00, 123.70, 116.45, 131.83
1950.00,  12.00,  57.99,  50.77,  65.64
1951.00,   1.00,  65.13,  58.04,  72.79
1951.00,   2.00,  74.13,  67.24,  81.62
1951.00,   3.00,  96.70,  89.23, 104.05
1951.00,   4.00,  79.31,  70.91,  87.41
1951.00,   5.00,  69.41,  62.31,  76.46
1951.00,   6.00,  96.88,  89.43, 104.98
1951.00,   7.00,  71.80,  64.31,  79.46
1951.00,   8.00,  37.37,  29.72,  46.58
1951.00,   9.00,  62.70,  54.83,  70.79
1951.00,  10.00,  72.42,  64.28,  80.78
1951.00,  11.00,  91.35,  84.05,  99.13
1951.00,  12.00, 100.99,  93.36, 109.08
1952.00,   1.00, 101.49,  93.94, 109.76
1952.00,   2.00,  52.92,  45.75,  60.75
1952.00,   3.00,  78.53,  71.30,  85.95
1952.00,   4.00,  75.75,  67.18,  84.32
1952.00,   5.00,  89.22,  81.71,  96.94
1952.00,   6.00,  35.76,  28.49,  43.03
1952.00,   7.00,  58.16,  50.73,  65.60
1952.00,   8.00,  68.31,  60.41,  77.41
1952.00,   9.00,  71.74,  64.40,  79.82
1952.00,  10.00,  24.50,  16.99,  32.76
1952.00,  11.00,  59.20,  51.71,  67.30
1952.00,  12.00,  57.70,  50.20,  65.65
1953.00,   1.00,  72.96,  65.71,  81.08
1953.00,   2.00,  32.88,  26.15,  40.19
1953.00,   3.00,  73.47,  65.96,  80.54
1953.00,   4.00,  62.92,  55.00,  70.92
1953.00,   5.00, 100.21,  92.38, 108.10
1953.00,   6.00,  54.21,  46.83,  61.75
1953.00,   7.00,  61.16,  53.33,  68.94
1953.00,   8.00,  58.14,  50.06,  67.24
1953.00,   9.00,  52.92,  45.58,  61.12
1953.00,  10.00,  18.67,  11.60,  26.51
1953.00,  11.00,  39.93,  32.77,  47.79
1953.00,  12.00,  54.45,  46.95,  61.74
