Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  93.2052,  77.4187, 109.1847
1950.0000,   2.0000,  66.2350,  51.9607,  80.6764
1950.0000,   3.0000, 121.4923, 106.1004, 136.4077
1950.0000,   4.0000, 203.8297, 190.8330, 217.5100
1950.0000,   5.0000, 152.6391, 140.7158, 164.8600
1950.0000,   6.0000, 142.8062, 131.4561, 154.2557
1950.0000,   7.0000, 131.0923, 117.7993, 143.9905
1950.0000,   8.0000,  62.3281,  48.0767,  76.9378
1950.0000,   9.0000,  63.0433,  48.5529,  79.8025
1950.0000,  10.0000,  25.0949,   7.9993,  39.8633
1950.0000,  11.0000,   2.2710, -13.7641,  17.5918
1950.0000,  12.0000,   8.4449,  -7.0820,  24.2188
1951.0000,   1.0000,  60.4683,  46.2121,  73.9974
1951.0000,   2.0000,  84.9059,  71.4822,  98.1287
1951.0000,   3.0000, 141.9393, 127.5655, 154.9823
1951.0000,   4.0000, 268.7400, 256.4849, 280.9339
1951.0000,   5.0000, 145.3836, 134.8679, 156.1127
1951.0000,   6.0000, 122.7108, 111.4668, 133.1577
1951.0000,   7.0000, 150.6774, 138.9841, 163.4172
1951.0000,   8.0000,  86.5105,  74.0250,  99.7624
1951.0000,   9.0000,  50.2653,  35.4404,  64.3565
1951.0000,  10.0000, 122.6598, 107.4253, 136.7081
1951.0000,  11.0000,  50.4514,  35.3149,  65.3268
1951.0000,  12.0000,  31.2677,  16.3458,  45.3660
1952.0000,   1.0000,  89.5963,  75.3557, 103.1345
1952.0000,   2.0000,  50.2990,  37.4791,  63.4330
1952.0000,   3.0000, 106.0358,  93.8827, 119.1712
1952.0000,   4.0000, 198.6497, 186.8926, 210.6533
1952.0000,   5.0000, 146.0740, 135.8608, 156.8427
1952.0000,   6.0000, 108.0086,  96.6399, 118.5025
1952.0000,   7.0000, 154.5128, 143.1492, 167.4403
1952.0000,   8.0000,  68.2213,  55.2934,  80.9062
1952.0000,   9.0000,  -0.2186, -14.2188,  12.1085
1952.0000,  10.0000,-100.8282,-114.4906, -86.1734
1952.0000,  11.0000,  22.0284,   7.2711,  36.4260
1952.0000,  12.0000,   8.1453,  -5.6974,  22.3282
1953.0000,   1.0000,  10.3763,  -3.4217,  24.3425
1953.0000,   2.0000,  50.3961,  37.7097,  63.5416
1953.0000,   3.0000, 118.7633, 105.5084, 132.7920
1953.0000,   4.0000, 151.8577, 139.4260, 164.8893
1953.0000,   5.0000, 153.8456, 143.5852, 165.4694
1953.0000,   6.0000, 134.3745, 123.6434, 145.3032
1953.0000,   7.0000,  88.9765,  77.1860, 101.5010
