Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0,  73.9,  64.5,  83.1
1950.0,   2.0,  47.1,  38.4,  55.9
1950.0,   3.0,  82.7,  73.0,  92.5
1950.0,   4.0, 137.6, 126.7, 148.4
1950.0,   5.0, 108.7,  98.9, 118.0
1950.0,   6.0,  59.4,  50.5,  68.5
1950.0,   7.0,  41.4,  32.6,  50.2
1950.0,   8.0,  29.9,  22.6,  38.1
1950.0,   9.0,  33.9,  26.4,  42.4
1950.0,  10.0,  25.2,  17.6,  33.4
1950.0,  11.0,  31.6,  23.5,  40.7
1950.0,  12.0,  46.6,  38.0,  55.8
1951.0,   1.0,  51.8,  43.8,  61.4
1951.0,   2.0,  50.0,  41.3,  58.5
1951.0,   3.0,  85.4,  76.2,  95.1
1951.0,   4.0, 176.9, 166.5, 187.6
1951.0,   5.0,  94.2,  85.3, 103.0
1951.0,   6.0,  47.4,  38.8,  56.1
1951.0,   7.0,  51.7,  42.4,  60.6
1951.0,   8.0,  32.9,  25.2,  41.1
1951.0,   9.0,  31.0,  22.9,  38.9
1951.0,  10.0,  59.7,  51.0,  68.5
1951.0,  11.0,  80.1,  69.9,  89.8
1951.0,  12.0,  58.6,  49.8,  67.3
1952.0,   1.0,  72.5,  63.6,  81.9
1952.0,   2.0,  54.7,  46.3,  63.3
1952.0,   3.0,  72.9,  63.5,  82.2
1952.0,   4.0, 144.4, 133.6, 154.4
1952.0,   5.0,  73.9,  65.6,  83.4
1952.0,   6.0,  45.8,  36.8,  53.9
1952.0,   7.0,  41.8,  33.4,  50.2
1952.0,   8.0,  30.7,  22.6,  38.3
1952.0,   9.0,  24.6,  17.2,  32.5
1952.0,  10.0,  17.4,  11.3,  24.5
1952.0,  11.0,  29.6,  21.0,  38.8
1952.0,  12.0,  49.1,  40.2,  57.7
1953.0,   1.0,  38.6,  30.0,  47.2
1953.0,   2.0,  38.8,  30.2,  47.3
1953.0,   3.0,  86.5,  76.8,  95.4
1953.0,   4.0,  99.3,  89.2, 109.9
1953.0,   5.0,  85.2,  76.3,  94.9
1953.0,   6.0,  53.3,  45.7,  62.3
1953.0,   7.0,  36.4,  27.7,  44.8
1953.0,   8.0,  29.0,  21.6,  37.1
1953.0,   9.0,  23.5,  16.9,  30.7
1953.0,  10.0,  20.9,  14.1,  29.1
1953.0,  11.0,  19.0,  12.4,  27.6
1953.0,  12.0,  31.4,  23.6,  39.9
1954.0,   1.0,  32.8,  25.1,  41.0
1954.0,   2.0,  53.6,  45.1,  62.4
1954.0,   3.0,  78.6,  69.1,  88.2
1954.0,   4.0, 115.3, 104.8, 125.7
1954.0,   5.0,  91.6,  82.7, 101.0
1954.0,   6.0,  69.4,  60.7,  77.9
1954.0,   7.0,  43.2,  34.4,  51.5
1954.0,   8.0,  28.0,  20.9,  36.2
1954.0,   9.0,  32.7,  24.8,  41.3
1954.0,  10.0, 101.4,  92.9, 110.9
1954.0,  11.0,  54.0,  44.7,  63.8
1954.0,  12.0,  46.0,  37.0,  55.3
1955.0,   1.0,  44.1,  35.2,  52.8
1955.0,   2.0,  33.5,  25.7,  41.9
1955.0,   3.0,  69.7,  59.2,  79.0
1955.0,   4.0, 115.9, 105.9, 126.1
1955.0,   5.0,  55.6,  46.9,  64.3
1955.0,   6.0,  33.2,  25.2,  41.5
1955.0,   7.0,  21.3,  14.2,  28.5
1955.0,   8.0,  19.1,  14.0,  25.7
1955.0,   9.0,  21.1,  15.1,  27.9
1955.0,  10.0,  27.9,  19.9,  36.6
1955.0,  11.0,  41.7,  33.0,  51.1
1955.0,  12.0,  33.7,  25.7,  42.2
1956.0,   1.0,  30.2,  22.2,  37.8
1956.0,   2.0,  27.9,  20.6,  35.8
1956.0,   3.0,  53.8,  44.5,  62.9
1956.0,   4.0, 107.8,  97.5, 117.7
1956.0,   5.0, 118.7, 110.2, 128.7
1956.0,   6.0,  49.7,  41.3,  58.2
1956.0,   7.0,  44.0,  35.1,  52.7
1956.0,   8.0,  35.0,  27.3,  43.3
1956.0,   9.0,  28.7,  21.4,  36.2
1956.0,  10.0,  25.5,  18.1,  33.8
1956.0,  11.0,  27.8,  19.7,  36.5
1956.0,  12.0,  35.2,  26.9,  43.9
1957.0,   1.0,  29.9,  22.0,  38.1
1957.0,   2.0,  33.6,  25.5,  41.6
1957.0,   3.0,  54.7,  45.2,  64.2
1957.0,   4.0,  85.2,  75.7,  95.8
1957.0,   5.0,  81.4,  72.8,  90.6
1957.0,   6.0,  51.1,  42.6,  59.5
1957.0,   7.0,  61.7,  52.9,  70.3
1957.0,   8.0,  25.2,  18.8,  32.8
1957.0,   9.0,  28.9,  21.8,  37.0
1957.0,  10.0,  31.2,  22.8,  40.0
1957.0,  11.0,  60.6,  51.5,  70.6
1957.0,  12.0,  61.3,  52.3,  70.5
1958.0,   1.0,  45.2,  36.6,  54.2
1958.0,   2.0,  32.2,  24.2,  40.3
1958.0,   3.0,  56.4,  47.8,  65.6
1958.0,   4.0,  62.2,  52.3,  72.6
1958.0,   5.0,  35.7,  28.0,  44.5
1958.0,   6.0,  31.7,  23.9,  39.8
1958.0,   7.0,  36.7,  28.1,  45.3
1958.0,   8.0,  24.9,  18.4,  31.8
1958.0,   9.0,  28.7,  21.4,  36.7
1958.0,  10.0,  26.0,  18.6,  34.0
1958.0,  11.0,  30.4,  21.6,  39.6
1958.0,  12.0,  28.7,  21.0,  36.8
1959.0,   1.0,  26.4,  19.3,  34.6
1959.0,   2.0,  28.5,  21.4,  36.4
1959.0,   3.0,  67.3,  57.4,  76.9
1959.0,   4.0, 156.6, 145.9, 166.8
1959.0,   5.0, 100.4,  91.5, 109.2
1959.0,   6.0,  40.9,  32.7,  49.4
