Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 104.36,  97.99, 110.26
1950.00,   2.00,  81.60,  75.68,  87.68
1950.00,   3.00,  76.20,  69.99,  82.81
1950.00,   4.00,  48.16,  41.76,  55.37
1950.00,   5.00,  38.72,  31.96,  45.67
1950.00,   6.00,  57.18,  50.72,  63.52
1950.00,   7.00,  66.98,  59.75,  74.13
1950.00,   8.00,  79.94,  72.43,  86.79
1950.00,   9.00,  44.12,  36.15,  50.80
1950.00,  10.00,  70.43,  63.07,  77.61
1950.00,  11.00, 112.02, 105.07, 119.02
1950.00,  12.00,  56.92,  51.10,  62.72
1951.00,   1.00,  69.52,  63.27,  75.45
1951.00,   2.00,  77.71,  71.46,  84.36
1951.00,   3.00,  98.77,  92.47, 105.24
1951.00,   4.00, 103.99,  97.43, 110.84
1951.00,   5.00,  37.21,  30.61,  43.93
1951.00,   6.00,  85.29,  79.11,  91.89
1951.00,   7.00, 107.04,  99.61, 114.28
1951.00,   8.00,  53.33,  46.22,  59.87
1951.00,   9.00,  66.05,  58.52,  72.92
1951.00,  10.00,  41.41,  34.57,  48.67
1951.00,  11.00,  79.62,  72.85,  86.73
1951.00,  12.00,  96.26,  90.50, 102.15
1952.00,   1.00,  66.34,  60.48,  72.43
1952.00,   2.00,  55.83,  50.02,  62.34
1952.00,   3.00,  62.46,  56.46,  68.89
1952.00,   4.00,  63.26,  56.59,  70.33
1952.00,   5.00, 101.37,  94.29, 108.34
1952.00,   6.00,  25.44,  19.76,  32.28
1952.00,   7.00,  67.88,  60.73,  75.05
1952.00,   8.00,  61.53,  54.39,  68.89
1952.00,   9.00,  64.47,  56.46,  71.03
1952.00,  10.00,  43.85,  36.70,  50.85
1952.00,  11.00,  63.18,  56.04,  70.22
1952.00,  12.00,  70.07,  64.26,  76.59
1953.00,   1.00,  62.87,  56.86,  68.86
1953.00,   2.00,  44.41,  38.46,  51.05
1953.00,   3.00,  91.09,  84.76,  97.27
1953.00,   4.00,  56.68,  50.31,  63.69
1953.00,   5.00, 116.63, 109.69, 123.65
1953.00,   6.00,  44.02,  37.89,  50.78
1953.00,   7.00,  61.21,  54.19,  68.81
1953.00,   8.00,  64.33,  57.72,  71.44
1953.00,   9.00,  85.08,  77.17,  91.82
1953.00,  10.00,  19.67,  12.89,  26.88
1953.00,  11.00,  46.02,  38.99,  53.22
1953.00,  12.00,  60.37,  54.85,  66.20
1954.00,   1.00,  61.48,  55.34,  67.51
1954.00,   2.00,  85.40,  79.40,  91.97
1954.00,   3.00,  87.84,  81.52,  94.01
1954.00,   4.00, 105.37,  99.05, 112.04
1954.00,   5.00,  45.72,  39.08,  52.63
1954.00,   6.00,  76.18,  70.20,  83.19
1954.00,   7.00,  28.03,  20.83,  35.45
1954.00,   8.00,  85.10,  78.03,  92.47
1954.00,   9.00,  78.05,  69.84,  84.41
1954.00,  10.00,  87.83,  80.32,  95.05
1954.00,  11.00,  72.42,  65.25,  79.50
1954.00,  12.00,  87.36,  81.39,  93.31
1955.00,   1.00,  38.70,  32.50,  44.53
1955.00,   2.00,  52.90,  46.66,  59.46
1955.00,   3.00, 103.09,  96.87, 109.49
1955.00,   4.00,  56.02,  49.45,  62.66
1955.00,   5.00,  52.74,  46.20,  59.51
1955.00,   6.00,  23.20,  17.39,  29.73
1955.00,   7.00,  43.44,  36.17,  50.69
1955.00,   8.00, 108.60, 101.79, 115.59
1955.00,   9.00,  45.56,  38.16,  52.48
1955.00,  10.00, 208.34, 200.55, 215.24
1955.00,  11.00,  39.53,  32.76,  46.23
1955.00,  12.00,  37.26,  31.55,  43.40
1956.00,   1.00,  42.24,  36.08,  47.83
1956.00,   2.00,  63.43,  57.14,  70.08
1956.00,   3.00,  79.82,  73.60,  85.85
1956.00,   4.00,  92.66,  85.81,  99.60
1956.00,   5.00, 103.78,  96.93, 110.60
1956.00,   6.00,  35.76,  29.61,  42.60
1956.00,   7.00,  71.74,  64.12,  78.96
1956.00,   8.00, 104.96,  97.89, 111.89
1956.00,   9.00,  66.57,  58.63,  73.05
1956.00,  10.00,  25.06,  18.51,  32.43
1956.00,  11.00,  46.93,  39.98,  53.90
1956.00,  12.00,  56.18,  50.29,  62.12
1957.00,   1.00,  69.21,  62.93,  74.91
1957.00,   2.00,  44.74,  38.62,  50.86
1957.00,   3.00,  34.58,  28.09,  40.98
1957.00,   4.00,  70.58,  64.03,  77.37
1957.00,   5.00,  78.31,  71.68,  85.08
1957.00,   6.00,  98.19,  92.02, 105.09
1957.00,   7.00,  68.67,  61.50,  76.08
1957.00,   8.00,  19.74,  13.56,  26.32
1957.00,   9.00,  83.36,  75.17,  90.17
1957.00,  10.00,  34.87,  28.02,  41.82
1957.00,  11.00,  53.56,  46.33,  60.73
1957.00,  12.00,  80.30,  74.39,  86.33
1958.00,   1.00,  64.14,  58.21,  70.32
1958.00,   2.00,  71.88,  65.83,  78.28
1958.00,   3.00,  21.65,  15.84,  27.89
1958.00,   4.00,  54.53,  47.97,  61.49
1958.00,   5.00,  50.86,  44.04,  57.67
1958.00,   6.00,  79.88,  73.80,  86.51
1958.00,   7.00,  75.71,  68.21,  83.13
1958.00,   8.00,  71.70,  64.44,  78.79
1958.00,   9.00, 100.55,  91.90, 107.21
1958.00,  10.00,  66.77,  59.43,  73.84
1958.00,  11.00,  66.82,  60.11,  73.67
1958.00,  12.00,  36.80,  31.14,  42.30
1959.00,   1.00,  89.48,  83.17,  95.24
1959.00,   2.00,  73.82,  67.58,  80.19
1959.00,   3.00,  55.64,  48.79,  61.81
1959.00,   4.00,  65.05,  58.47,  71.59
1959.00,   5.00,  53.53,  46.63,  60.47
1959.00,   6.00,  38.46,  32.31,  44.96
1959.00,   7.00,  78.98,  71.62,  86.55
1959.00,   8.00,  71.67,  64.22,  78.36
1959.00,   9.00,  50.48,  42.19,  56.94
1959.00,  10.00, 124.01, 117.29, 131.11
1959.00,  11.00,  78.44,  71.30,  85.33
1959.00,  12.00,  92.58,  86.93,  98.60
1960.00,   1.00,  70.14,  64.09,  76.06
1960.00,   2.00, 104.10,  97.96, 110.72
1960.00,   3.00,  36.81,  30.73,  43.00
1960.00,   4.00,  72.67,  65.96,  79.69
1960.00,   5.00, 102.14,  95.50, 109.11
1960.00,   6.00,  76.20,  70.01,  82.56
1960.00,   7.00,  40.09,  32.81,  47.38
1960.00,   8.00,  49.89,  42.72,  56.79
1960.00,   9.00,  18.02,  10.74,  24.16
1960.00,  10.00,  58.04,  50.92,  65.29
1960.00,  11.00,  41.61,  34.77,  48.47
1960.00,  12.00,  29.00,  23.38,  34.90
1961.00,   1.00,  27.03,  20.99,  32.81
1961.00,   2.00,  74.29,  67.93,  81.04
1961.00,   3.00,  55.63,  48.96,  61.85
1961.00,   4.00, 100.33,  93.78, 107.44
1961.00,   5.00,  71.23,  64.30,  78.09
1961.00,   6.00,  96.61,  90.43, 103.29
1961.00,   7.00,  75.87,  68.53,  83.13
1961.00,   8.00,  65.32,  58.35,  72.10
1961.00,   9.00,  25.27,  17.69,  31.94
1961.00,  10.00,  41.17,  34.29,  48.48
1961.00,  11.00,  60.31,  53.52,  67.24
1961.00,  12.00,  53.70,  47.92,  60.06
1962.00,   1.00,  69.60,  63.65,  75.65
1962.00,   2.00,  66.31,  60.10,  72.70
1962.00,   3.00,  22.68,  16.89,  28.96
1962.00,   4.00,  66.03,  59.30,  72.95
1962.00,   5.00,  43.85,  37.00,  50.42
1962.00,   6.00,  51.69,  45.09,  58.05
1962.00,   7.00,  64.37,  56.84,  71.22
1962.00,   8.00,  61.38,  54.05,  67.86
1962.00,   9.00,  86.84,  78.69,  93.27
1962.00,  10.00,  81.92,  75.13,  89.42
1962.00,  11.00,  42.04,  35.24,  48.82
1962.00,  12.00,  59.41,  53.78,  65.47
1963.00,   1.00,  41.93,  35.66,  47.47
1963.00,   2.00,  33.72,  27.94,  40.25
1963.00,   3.00,  59.13,  52.77,  65.19
1963.00,   4.00,  64.89,  58.56,  71.97
1963.00,   5.00,  73.63,  67.02,  80.53
1963.00,   6.00,  19.05,  13.56,  25.64
1963.00,   7.00,  50.32,  43.08,  57.57
1963.00,   8.00,  91.88,  84.84,  98.65
1963.00,   9.00,  34.65,  26.94,  41.57
1963.00,  10.00,   6.00,   2.14,  11.44
1963.00,  11.00, 113.25, 106.02, 119.98
1963.00,  12.00,  49.55,  43.55,  55.26
1964.00,   1.00,  63.38,  57.65,  69.17
1964.00,   2.00,  29.75,  23.50,  36.49
1964.00,   3.00,  76.41,  69.75,  82.85
1964.00,   4.00,  73.66,  67.70,  80.78
1964.00,   5.00,  63.76,  56.70,  70.37
1964.00,   6.00,  28.46,  22.53,  35.20
1964.00,   7.00,  65.06,  57.70,  72.28
1964.00,   8.00,  86.23,  78.98,  93.27
1964.00,   9.00,  11.93,   5.63,  17.93
1964.00,  10.00,  28.80,  21.62,  35.62
1964.00,  11.00,  46.66,  39.68,  53.56
1964.00,  12.00,  67.31,  61.49,  73.18
1965.00,   1.00,  74.10,  67.72,  79.98
1965.00,   2.00,  92.17,  85.66,  98.86
1965.00,   3.00,  39.84,  33.76,  46.26
1965.00,   4.00,  58.59,  52.21,  65.16
1965.00,   5.00,  23.75,  17.06,  30.45
1965.00,   6.00,  38.94,  32.89,  45.50
1965.00,   7.00,  51.73,  44.44,  59.19
1965.00,   8.00,  81.27,  73.53,  88.45
1965.00,   9.00,  75.17,  67.40,  81.64
1965.00,  10.00,  94.51,  87.77, 101.33
1965.00,  11.00,  89.27,  82.45,  96.22
1965.00,  12.00,  50.63,  45.00,  56.47
1966.00,   1.00,  73.92,  68.15,  80.04
1966.00,   2.00,  58.57,  52.44,  65.07
1966.00,   3.00,  61.15,  54.60,  67.73
1966.00,   4.00,  36.68,  29.96,  43.41
