Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0, 141.9, 138.2, 145.8
1950.0,   2.0, 124.9, 121.5, 128.5
1950.0,   3.0, 109.9, 107.0, 112.8
1950.0,   4.0,  97.9,  95.1, 100.8
1950.0,   5.0, 253.0, 247.1, 259.2
1950.0,   6.0,  65.0,  56.6,  73.8
1950.0,   7.0,  66.0,  59.9,  72.6
1950.0,   8.0,  60.1,  55.2,  64.8
1950.0,   9.0, 197.9, 193.5, 202.6
1950.0,  10.0, 101.0,  96.7, 105.1
1950.0,  11.0, 193.9, 188.9, 198.6
1950.0,  12.0, 187.9, 183.6, 192.4
1951.0,   1.0, 134.9, 130.9, 139.1
1951.0,   2.0, 105.0, 101.4, 108.4
1951.0,   3.0,  85.9,  83.2,  88.8
1951.0,   4.0,  72.0,  69.1,  74.8
1951.0,   5.0, 132.0, 125.8, 138.1
1951.0,   6.0,  83.9,  75.3,  92.5
1951.0,   7.0, 101.0,  94.7, 107.2
1951.0,   8.0, 133.0, 128.2, 138.2
1951.0,   9.0, 113.1, 108.7, 117.4
1951.0,  10.0, 215.0, 210.8, 219.0
1951.0,  11.0, 212.8, 207.7, 217.9
1951.0,  12.0, 266.9, 262.3, 271.3
1952.0,   1.0, 178.9, 174.9, 182.7
1952.0,   2.0, 137.9, 134.4, 141.2
1952.0,   3.0, 106.9, 103.9, 109.5
1952.0,   4.0,  55.0,  52.0,  57.7
1952.0,   5.0,  26.8,  21.1,  32.8
1952.0,   6.0,  59.1,  50.4,  68.0
1952.0,   7.0,  58.0,  51.7,  64.4
1952.0,   8.0,  44.0,  39.0,  48.9
1952.0,   9.0,  36.1,  31.5,  40.4
1952.0,  10.0,  35.0,  30.5,  39.2
1952.0,  11.0,  25.1,  20.2,  29.8
1952.0,  12.0,  95.8,  91.4, 100.5
1953.0,   1.0, 172.8, 169.1, 176.7
1953.0,   2.0, 109.0, 105.6, 112.3
1953.0,   3.0,  89.9,  87.2,  92.8
1953.0,   4.0,  90.9,  87.9,  93.8
1953.0,   5.0, 151.1, 144.6, 156.9
1953.0,   6.0, 263.9, 255.6, 272.2
1953.0,   7.0, 263.8, 257.5, 269.9
1953.0,   8.0,  36.1,  31.2,  41.5
1953.0,   9.0,  38.9,  34.2,  43.6
1953.0,  10.0,  91.0,  86.7,  95.0
1953.0,  11.0, 223.9, 219.0, 228.7
1953.0,  12.0, 148.8, 144.4, 153.4
1954.0,   1.0, 212.0, 208.0, 215.8
1954.0,   2.0, 157.9, 154.6, 161.3
1954.0,   3.0, 124.9, 122.1, 127.7
1954.0,   4.0, 110.0, 106.9, 112.8
1954.0,   5.0, 210.9, 204.9, 216.9
1954.0,   6.0,  73.0,  64.3,  81.2
1954.0,   7.0,  36.0,  29.9,  42.2
1954.0,   8.0, 168.9, 163.7, 173.8
1954.0,   9.0, 168.0, 163.5, 172.5
1954.0,  10.0, 168.9, 164.6, 173.1
1954.0,  11.0, 180.9, 176.2, 185.7
1954.0,  12.0, 213.9, 209.0, 218.6
1955.0,   1.0, 144.0, 140.1, 147.9
1955.0,   2.0, 127.0, 123.6, 130.1
1955.0,   3.0, 112.9, 109.9, 115.9
1955.0,   4.0, 115.0, 112.1, 117.9
1955.0,   5.0, 275.7, 269.4, 282.0
1955.0,   6.0, 307.3, 299.0, 315.9
1955.0,   7.0, 275.8, 269.5, 281.9
1955.0,   8.0, 159.1, 154.1, 164.1
1955.0,   9.0, 121.0, 116.5, 125.6
1955.0,  10.0, 108.0, 103.7, 112.1
1955.0,  11.0, 125.1, 120.4, 129.8
1955.0,  12.0, 133.0, 128.4, 137.5
1956.0,   1.0, 123.0, 119.0, 126.9
1956.0,   2.0, 110.9, 107.4, 114.2
1956.0,   3.0,  97.9,  95.0, 100.9
1956.0,   4.0,  92.9,  90.1,  95.9
1956.0,   5.0, 135.0, 128.9, 140.9
1956.0,   6.0, 412.7, 404.4, 421.6
1956.0,   7.0, 320.8, 314.5, 326.9
1956.0,   8.0, 195.9, 191.1, 200.8
1956.0,   9.0, 135.9, 131.5, 140.2
1956.0,  10.0, 124.9, 120.7, 129.3
1956.0,  11.0, 123.1, 118.2, 127.8
1956.0,  12.0, 130.9, 126.4, 135.5
1957.0,   1.0, 106.9, 102.8, 110.8
1957.0,   2.0,  88.9,  85.8,  92.3
1957.0,   3.0,  82.0,  79.2,  84.7
1957.0,   4.0,  92.0,  89.0,  94.9
1957.0,   5.0, 266.8, 260.8, 272.5
1957.0,   6.0, 308.8, 300.5, 317.3
1957.0,   7.0,  74.9,  68.7,  80.9
1957.0,   8.0, 187.9, 182.6, 193.1
1957.0,   9.0, 124.9, 120.3, 129.4
1957.0,  10.0, 120.0, 115.9, 124.4
1957.0,  11.0, 155.9, 151.0, 160.9
1957.0,  12.0, 129.0, 124.6, 133.2
1958.0,   1.0, 109.9, 106.1, 113.8
1958.0,   2.0, 108.0, 104.7, 111.1
1958.0,   3.0, 100.9,  98.2, 103.9
1958.0,   4.0, 107.9, 105.1, 110.7
1958.0,   5.0, 250.6, 244.8, 256.6
1958.0,   6.0, 321.8, 313.6, 330.0
1958.0,   7.0, 234.0, 227.7, 240.1
1958.0,   8.0, 166.9, 161.6, 171.8
1958.0,   9.0, 151.9, 147.6, 156.6
1958.0,  10.0, 204.0, 199.8, 208.2
1958.0,  11.0, 245.9, 240.7, 251.0
1958.0,  12.0, 193.8, 189.3, 198.6
1959.0,   1.0, 157.9, 154.0, 161.8
1959.0,   2.0, 139.9, 136.7, 143.3
1959.0,   3.0, 108.0, 105.0, 110.8
1959.0,   4.0, 101.9,  99.0, 104.8
1959.0,   5.0, 145.0, 139.1, 151.0
1959.0,   6.0, 345.1, 336.6, 353.5
1959.0,   7.0, 362.8, 356.3, 369.3
1959.0,   8.0, 258.9, 254.1, 264.0
1959.0,   9.0, 189.9, 185.3, 194.6
1959.0,  10.0, 172.9, 168.5, 177.2
1959.0,  11.0, 147.9, 143.3, 152.4
1959.0,  12.0, 136.0, 131.3, 140.5
1960.0,   1.0, 115.0, 111.2, 118.8
1960.0,   2.0, 111.9, 108.7, 115.2
1960.0,   3.0,  92.9,  89.9,  95.9
1960.0,   4.0,  90.9,  88.1,  93.7
1960.0,   5.0, 166.9, 160.7, 173.1
1960.0,   6.0, 278.9, 270.7, 287.5
1960.0,   7.0, 219.0, 212.7, 224.9
1960.0,   8.0, 138.0, 133.0, 143.0
1960.0,   9.0,  98.9,  94.2, 103.4
1960.0,  10.0,  76.9,  72.4,  81.3
1960.0,  11.0,  99.1,  94.1, 103.9
1960.0,  12.0, 109.9, 105.6, 114.6
1961.0,   1.0, 109.0, 105.2, 113.0
1961.0,   2.0, 104.0, 100.5, 107.5
1961.0,   3.0,  96.9,  93.9,  99.9
1961.0,   4.0,  97.9,  95.1, 100.9
1961.0,   5.0, 265.7, 259.8, 271.4
1961.0,   6.0, 372.5, 363.9, 381.4
1961.0,   7.0, 221.8, 215.7, 228.1
1961.0,   8.0, 137.8, 132.5, 142.9
1961.0,   9.0, 100.0,  95.4, 104.4
1961.0,  10.0, 114.0, 109.5, 118.3
1961.0,  11.0, 133.9, 129.3, 138.7
1961.0,  12.0, 114.9, 110.3, 119.4
1962.0,   1.0, 111.9, 107.9, 115.9
1962.0,   2.0, 113.9, 110.6, 117.4
1962.0,   3.0,  97.9,  95.1, 100.6
1962.0,   4.0,  91.0,  88.0,  93.9
1962.0,   5.0, 134.8, 128.9, 140.8
1962.0,   6.0, 289.8, 280.9, 298.5
1962.0,   7.0, 244.7, 238.4, 251.4
1962.0,   8.0, 219.8, 214.9, 224.9
1962.0,   9.0, 225.8, 221.4, 230.4
1962.0,  10.0, 166.9, 162.6, 171.5
1962.0,  11.0, 129.0, 124.0, 134.1
1962.0,  12.0, 112.0, 107.2, 116.6
1963.0,   1.0, 109.9, 106.0, 113.9
1963.0,   2.0, 100.9,  97.6, 104.2
1963.0,   3.0,  87.0,  84.1,  89.9
1963.0,   4.0,  89.9,  87.0,  92.9
1963.0,   5.0, 123.0, 116.8, 128.8
1963.0,   6.0, 235.2, 226.8, 243.5
1963.0,   7.0, 199.0, 192.6, 205.3
1963.0,   8.0, 279.9, 274.8, 284.8
1963.0,   9.0, 256.8, 252.1, 261.5
1963.0,  10.0, 168.0, 163.5, 172.4
1963.0,  11.0, 118.9, 114.0, 123.8
1963.0,  12.0, 104.9, 100.1, 109.6
1964.0,   1.0, 101.0,  96.9, 104.9
1964.0,   2.0,  95.9,  92.7,  99.2
1964.0,   3.0,  87.9,  85.1,  90.8
1964.0,   4.0,  97.0,  94.0, 100.1
1964.0,   5.0, 316.8, 310.5, 323.1
1964.0,   6.0, 361.4, 353.0, 369.8
1964.0,   7.0, 207.0, 200.9, 213.1
1964.0,   8.0, 342.8, 337.9, 347.8
1964.0,   9.0, 300.7, 296.3, 305.4
1964.0,  10.0, 358.8, 354.4, 363.1
1964.0,  11.0, 263.8, 259.1, 268.7
1964.0,  12.0, 188.0, 183.1, 192.4
1965.0,   1.0, 151.7, 148.0, 155.9
1965.0,   2.0, 129.0, 125.4, 132.4
1965.0,   3.0, 135.9, 133.0, 139.0
1965.0,   4.0, 134.0, 131.1, 136.7
1965.0,   5.0, 186.9, 181.0, 193.2
1965.0,   6.0, 237.9, 229.8, 246.2
1965.0,   7.0, 210.8, 204.6, 217.4
1965.0,   8.0, 174.1, 169.2, 178.6
1965.0,   9.0, 135.0, 130.2, 139.4
1965.0,  10.0, 198.8, 194.6, 203.3
1965.0,  11.0, 217.1, 212.3, 221.8
1965.0,  12.0, 206.8, 202.4, 211.3
1966.0,   1.0, 186.9, 183.0, 190.9
1966.0,   2.0, 158.9, 155.4, 162.2
1966.0,   3.0, 132.9, 130.0, 135.8
1966.0,   4.0, 130.9, 127.9, 133.8
1966.0,   5.0, 237.0, 231.0, 243.3
1966.0,   6.0, 499.5, 491.3, 507.9
1966.0,   7.0, 140.8, 134.7, 147.3
1966.0,   8.0, 288.8, 283.8, 293.8
1966.0,   9.0, 183.8, 179.5, 188.4
1966.0,  10.0, 133.0, 128.4, 137.3
1966.0,  11.0, 113.8, 109.0, 118.9
1966.0,  12.0,  99.9,  95.3, 104.4
1967.0,   1.0, 106.0, 102.2, 109.9
1967.0,   2.0,  94.0,  90.5,  97.3
1967.0,   3.0,  82.9,  80.1,  85.8
1967.0,   4.0,  94.9,  91.9,  97.8
1967.0,   5.0, 181.8, 175.8, 187.9
1967.0,   6.0, 381.8, 373.4, 390.6
1967.0,   7.0, 273.8, 267.7, 280.3
1967.0,   8.0, 176.9, 171.9, 181.9
1967.0,   9.0, 110.9, 106.5, 115.6
1967.0,  10.0,  85.9,  81.7,  90.1
1967.0,  11.0,  99.9,  95.1, 104.6
1967.0,  12.0, 100.1,  95.3, 104.3
1968.0,   1.0, 105.9, 102.1, 109.9
1968.0,   2.0,  92.0,  88.7,  95.3
1968.0,   3.0,  83.0,  80.2,  85.8
1968.0,   4.0, 109.9, 107.0, 112.8
1968.0,   5.0, 280.8, 274.6, 287.0
1968.0,   6.0, 447.0, 438.6, 455.4
1968.0,   7.0, 277.0, 270.6, 283.1
