Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,1784,1711,1858
1950,   2,1876,1805,1946
1950,   3,1868,1795,1940
1950,   4,1868,1793,1940
1950,   5,1915,1835,1991
1950,   6,2958,2879,3034
1950,   7,3485,3403,3571
1950,   8,3579,3492,3674
1950,   9,3556,3466,3653
1950,  10,3499,3409,3591
1950,  11,3420,3332,3507
1950,  12,3171,3095,3249
1951,   1,2317,2244,2396
1951,   2,2260,2185,2331
1951,   3,2265,2195,2336
1951,   4,2930,2850,3007
1951,   5,3438,3359,3517
1951,   6,3468,3386,3548
1951,   7,3518,3433,3606
1951,   8,3442,3352,3535
1951,   9,3498,3407,3589
1951,  10,3496,3405,3579
1951,  11,3425,3336,3515
1951,  12,2906,2828,2984
1952,   1,2376,2303,2449
1952,   2,2319,2246,2389
1952,   3,2285,2218,2357
1952,   4,2325,2249,2399
1952,   5,3038,2958,3120
1952,   6,2209,2124,2289
1952,   7,1885,1797,1970
1952,   8,3301,3207,3390
1952,   9,3300,3206,3392
1952,  10,3231,3143,3321
1952,  11,3021,2935,3113
1952,  12,2117,2040,2195
1953,   1,2089,2017,2158
1953,   2,2028,1956,2100
1953,   3,1973,1902,2043
1953,   4,2195,2123,2272
1953,   5,2613,2532,2689
1953,   6,2771,2688,2852
1953,   7,3020,2936,3107
1953,   8,3391,3299,3484
1953,   9,3370,3282,3463
1953,  10,3222,3130,3308
1953,  11,2855,2766,2939
1953,  12,2259,2180,2340
1954,   1,2093,2022,2166
1954,   2,2037,1968,2108
1954,   3,2034,1967,2103
1954,   4,2004,1928,2081
1954,   5,2144,2069,2223
1954,   6,2175,2089,2258
1954,   7,2840,2757,2928
1954,   8,3298,3204,3386
1954,   9,3201,3109,3293
1954,  10,2728,2640,2818
1954,  11,2154,2063,2235
1954,  12,1848,1770,1918
1955,   1,1766,1688,1838
1955,   2,1756,1686,1825
1955,   3,1724,1652,1798
1955,   4,1697,1621,1770
1955,   5,2043,1965,2119
1955,   6,2120,2036,2201
1955,   7,1985,1897,2073
1955,   8,1850,1762,1941
1955,   9,1169,1075,1258
1955,  10,1426,1340,1514
1955,  11,2372,2289,2464
1955,  12,2178,2095,2252
1956,   1,2093,2021,2166
1956,   2,2100,2029,2175
1956,   3,2076,2003,2146
1956,   4,2161,2088,2233
1956,   5,1943,1862,2023
1956,   6,1739,1660,1819
1956,   7,1744,1657,1827
1956,   8,2053,1964,2143
1956,   9,2042,1951,2129
1956,  10,2074,1981,2163
1956,  11,1992,1907,2077
1956,  12,1954,1876,2029
1957,   1,1906,1833,1982
1957,   2,1872,1801,1944
1957,   3,1611,1538,1682
1957,   4,1605,1532,1679
1957,   5,1504,1427,1581
1957,   6,1547,1464,1633
1957,   7,1562,1477,1648
1957,   8,1822,1728,1911
1957,   9,1921,1833,2016
1957,  10,1910,1824,2000
1957,  11,1876,1792,1960
1957,  12,1846,1764,1923
1958,   1,2010,1934,2081
1958,   2,2009,1939,2081
1958,   3,1949,1881,2018
1958,   4,1741,1667,1811
1958,   5,1767,1688,1844
1958,   6,1770,1689,1848
1958,   7,1618,1536,1706
1958,   8,1613,1523,1704
1958,   9,1614,1524,1710
1958,  10,1872,1786,1959
1958,  11,1952,1864,2037
1958,  12,1879,1804,1956
1959,   1,1878,1802,1950
1959,   2,1906,1832,1980
1959,   3,1848,1776,1919
1959,   4,1989,1916,2060
1959,   5,1975,1896,2051
1959,   6,1939,1863,2019
1959,   7,1902,1815,1984
1959,   8,1938,1851,2026
1959,   9,2113,2023,2205
1959,  10,3171,3084,3260
1959,  11,3355,3269,3442
1959,  12,2520,2438,2593
1960,   1,2099,2026,2178
1960,   2,2050,1974,2121
1960,   3,1956,1883,2026
1960,   4,1873,1801,1944
1960,   5,1942,1866,2021
1960,   6,3148,3066,3231
1960,   7,3256,3172,3344
1960,   8,2977,2882,3062
1960,   9,2927,2837,3018
1960,  10,2611,2523,2702
1960,  11,2066,1980,2155
1960,  12,1939,1863,2018
1961,   1,1899,1826,1969
1961,   2,1897,1819,1967
1961,   3,1867,1795,1939
1961,   4,1876,1804,1949
1961,   5,1945,1864,2026
1961,   6,1968,1886,2049
1961,   7,1867,1780,1952
1961,   8,1634,1543,1725
1961,   9,1630,1537,1725
1961,  10,1649,1556,1738
1961,  11,1851,1766,1938
1961,  12,1839,1759,1924
1962,   1,1825,1751,1899
1962,   2,1844,1773,1919
1962,   3,1818,1747,1887
1962,   4,1794,1718,1864
1962,   5,1701,1623,1782
1962,   6,1713,1634,1791
1962,   7,1787,1702,1873
1962,   8,1712,1623,1805
1962,   9,1601,1507,1691
1962,  10,1819,1730,1909
