Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  82.63,  73.37,  92.35
1950.00,   2.00,  34.90,  26.81,  43.62
1950.00,   3.00,  51.90,  42.42,  60.80
1950.00,   4.00,  67.71,  58.66,  76.96
1950.00,   5.00,  92.36,  83.01, 102.02
1950.00,   6.00, 107.43,  97.74, 116.86
1950.00,   7.00,  86.47,  76.17,  96.06
1950.00,   8.00,  74.57,  65.05,  83.63
1950.00,   9.00,  54.57,  44.48,  64.83
1950.00,  10.00,  71.89,  62.85,  81.26
1950.00,  11.00,  94.23,  84.18, 103.65
1950.00,  12.00,  49.61,  40.40,  58.24
1951.00,   1.00,  30.94,  22.51,  40.09
1951.00,   2.00,  64.00,  55.49,  72.67
1951.00,   3.00,  78.67,  69.28,  87.55
1951.00,   4.00,  56.24,  47.16,  65.33
1951.00,   5.00,  44.77,  36.11,  52.99
1951.00,   6.00, 103.39,  94.32, 112.16
1951.00,   7.00,  50.84,  40.79,  60.24
1951.00,   8.00, 107.02,  97.78, 115.92
1951.00,   9.00, 124.07, 114.41, 134.49
1951.00,  10.00,  77.55,  68.43,  87.20
1951.00,  11.00,  57.13,  47.33,  67.07
1951.00,  12.00,  45.10,  36.62,  53.58
1952.00,   1.00,  51.79,  43.38,  59.88
1952.00,   2.00,  24.61,  16.94,  33.24
1952.00,   3.00,  48.10,  39.10,  56.89
1952.00,   4.00,  41.53,  32.69,  50.15
1952.00,   5.00,  42.24,  33.97,  51.06
1952.00,   6.00, 102.00,  92.62, 110.88
1952.00,   7.00, 138.81, 129.61, 148.34
1952.00,   8.00,  84.59,  75.33,  93.93
1952.00,   9.00,  38.34,  28.27,  47.48
1952.00,  10.00,  21.56,  13.64,  30.43
1952.00,  11.00,  56.00,  46.73,  65.16
1952.00,  12.00,  35.03,  26.43,  43.49
1953.00,   1.00,  56.50,  47.75,  65.88
1953.00,   2.00,  49.59,  41.21,  57.81
1953.00,   3.00,  52.06,  42.72,  61.23
1953.00,   4.00,  50.54,  41.59,  59.77
1953.00,   5.00, 107.93,  98.75, 116.53
1953.00,   6.00, 109.24, 100.55, 118.32
1953.00,   7.00,  82.21,  72.47,  91.48
1953.00,   8.00,  87.16,  77.20,  96.19
1953.00,   9.00,  76.18,  66.10,  85.96
1953.00,  10.00,  21.06,  13.28,  29.53
1953.00,  11.00,  51.01,  41.69,  61.12
1953.00,  12.00,  63.03,  53.97,  72.34
1954.00,   1.00,  61.25,  51.93,  70.85
1954.00,   2.00,  40.01,  31.74,  48.54
1954.00,   3.00,  47.08,  37.59,  56.24
1954.00,   4.00,  83.78,  75.24,  92.36
1954.00,   5.00,  97.40,  88.50, 106.18
1954.00,   6.00,  76.36,  67.02,  85.13
1954.00,   7.00,  37.72,  28.78,  46.45
1954.00,   8.00,  57.04,  48.02,  66.14
1954.00,   9.00,  89.01,  78.85,  99.04
